time,issue_id,event_id,type,author,action,url
2025-07-30 08:21:37+00:00,25,18893942863,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/25
2025-07-30 08:21:38+00:00,25,18893942894,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/25
2025-07-30 08:21:38+00:00,25,18893942941,label,ouvry-ems,labeled Strategy Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/25
2025-07-30 08:21:35+00:00,24,18893942372,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/24
2025-07-30 08:21:36+00:00,24,18893942418,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/24
2025-07-30 08:21:36+00:00,24,18893942453,label,ouvry-ems,labeled Strategy Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/24
2025-07-30 08:21:32+00:00,23,18893941546,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/23
2025-07-30 08:21:33+00:00,23,18893941624,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/23
2025-07-30 08:21:33+00:00,23,18893941693,label,ouvry-ems,labeled Strategy Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/23
2025-07-30 08:21:31+00:00,22,18893941109,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/22
2025-07-30 08:21:31+00:00,22,18893941153,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/22
2025-07-30 08:21:31+00:00,22,18893941194,label,ouvry-ems,labeled Strategy Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/22
2025-07-30 08:21:28+00:00,21,18893940392,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/21
2025-07-30 08:21:28+00:00,21,18893940417,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/21
2025-07-30 08:21:28+00:00,21,18893940455,label,ouvry-ems,labeled Strategy Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/21
2025-07-30 08:21:25+00:00,20,18893939819,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/20
2025-07-30 08:21:26+00:00,20,18893939871,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/20
